inDict,phrase
1,status quo
1,ad hoc
1,alma mater
1,per se
1,bona fide
1,vice versa
1,per annum
1,pros and cons
1,in fine
1,a cappella
1,in vitro
1,quid pro quo
1,de facto
1,in absentia
1,et cetera
1,in situ
1,prima facie
1,pro forma
1,habeas corpus
1,inter alia
1,per capita
1,modus operandi
1,post mortem
1,mea culpa
1,magnum opus
1,in vivo
1,ad hominem
1,per diem
1,pro tem
1,ad nauseam
1,persona non grata
1,in utero
1,spina bifida
1,in camera
1,a priori
1,de jure
1,ad infinitum
0,suo motu
1,pro rata
0,in pace
1,sine qua non
1,curriculum vitae
1,pro tempore
1,de novo
1,amicus curiae
1,ex parte
1,terra firma
1,in retrospect
1,pro bono
1,aurora borealis
1,non sequitur
1,ad valorem
1,sui generis
1,ipso facto
1,casus belli
1,homo sapiens
1,in extremis
1,ex post
1,status quo ante
1,ex officio
1,deus ex machina
1,in toto
1,in memoriam
1,de minimis
1,modus vivendi
1,ex post facto
1,ad litem
1,caveat emptor
1,sine die
1,sub judice
1,ultra vires
1,post hoc
1,sanctum sanctorum
1,rigor mortis
1,tabula rasa
0,juris doctor
1,dramatis personae
1,ab initio
1,annus horribilis
1,locus standi
1,in re
1,mala fide
1,via media
1,pro se
0,ex vivo
1,corpus callosum
1,stare decisis
1,ad absurdum
1,ex ante
1,ex gratia
1,terra incognita
1,camera obscura
1,gluteus maximus
1,in loco
1,memento mori
1,carpe diem
1,ne plus ultra
1,mens rea
1,ex nihilo
1,reductio ad absurdum
1,ad interim
1,quo warranto
1,pari passu
1,in silico
1,honoris causa
1,substantia nigra
1,in flagrante
1,vox populi
1,motu proprio
1,in loco parentis
1,sub rosa
1,per curiam
1,terra nullius
1,ceteris paribus
1,nolle prosequi
1,inter partes
1,primus inter pares
1,delirium tremens
1,annus mirabilis
1,mutatis mutandis
1,ex cathedra
0,e pluribus unum
1,a fortiori
1,in dubio
1,ad limina
1,aurora australis
1,dura mater
1,post partum
1,in medias res
0,flagrante delicto
1,a posteriori
1,in flagrante delicto
0,jus soli
1,nolo contendere
0,foramen ovale
1,cui bono
1,viva voce
1,in limine
1,propter hoc
1,mirabile dictu
0,sola scriptura
1,locum tenens
1,compos mentis
1,genius loci
1,jus in bello
1,in excelsis
0,foramen magnum
1,jus ad bellum
1,ante bellum
0,in dubio pro reo
0,cura personalis
1,in rem
1,ad libitum
1,pater familias
1,per mille
0,sola fide
0,jus sanguinis
0,et alia
1,tu quoque
1,res judicata
1,sede vacante
0,sua sponte
1,rara avis
1,inter vivos
1,in se
1,cor pulmonale
1,per centum
1,inter se
1,in specie
1,locus classicus
1,obiter dicta
1,res publica
1,erga omnes
1,pro hac vice
1,homo erectus
1,in extenso
1,magna carta
1,globus pallidus
1,materia medica
1,actus reus
1,pacta sunt servanda
1,fons et origo
0,pro patria
1,corpus delicti
1,post factum
1,status quo ante bellum
1,corpus luteum
1,summum bonum
1,panem et circenses
0,ars technica
1,ex facie
1,parens patriae
1,vade mecum
1,nota bene
1,ultima ratio
0,ex situ
0,sola gratia
1,in vino veritas
1,de fide
1,in terrorem
0,ars poetica
1,lignum vitae
1,nihil obstat
1,id est
1,ad idem
1,coitus interruptus
1,damnatio memoriae
1,aqua regia
1,ipse dixit
1,respondeat superior
1,mea maxima culpa
1,ex libris
1,anno domini
